"Age","Traffic","Spans","Length","ImprovementCost","Humidity","Temperature","DaysBelow0C","Wetness","Precipitation"
39,490,3,34.1,133,78,14.4,69,4451,1510
42,270,4,43,168,79,18.9,10,4683,1302.41
57,600,3,44.9,176,76,16.7,39,4482,1150.77
73,8370,3,25.9,102,78,15.1,59,4627,1252.83
35,600,3,26.9,105,75,19.3,7,4325,1544.85
52,490,2,21,82,79,18.9,10,4683,1302.41
62,2490,3,60,234,76,18.2,22,4269,1023.09
13,8420,7,685,0,76,16.8,41,4359,1120.56
15,4030,3,316.9,1239,75,19.3,7,4325,1544.85
45,44080,3,30.8,220,77,17.3,33,4649,1148.89
26,2360,2,819.9,3204,78,19.4,8,4437,1294.62
93,2150,3,32.2,125,76,17.2,36,4474,1115.61
14,9110,6,779.9,3048,76,16.7,39,4482,1150.77
35,29270,10,838.9,0,77,16.8,38,4652,1241.05
63,2280,5,149.9,586,75,18.7,16,4211,1174.05
22,104,3,32.2,125,76,17.2,36,4474,1115.61
63,490,3,81,316,76,17.8,27,4512,1039.26
42,600,7,250,977,76,16.7,39,4482,1150.77
45,690,6,120.1,469,76,19.2,9,4289,1149.91
14,25520,3,174.9,870,77,16.2,47,4355,1210.12
45,46410,28,1852,9210,78,20.4,4,4824,1481.42
38,490,5,200.1,0,80,19.3,11,4951,1474.19
20,6580,1,80.1,313,77,17.3,33,4649,1148.89
23,1490,3,193.9,758,77,16.3,43,4537,1196.86
26,2580,1,73.2,285,78,15.1,59,4627,1252.83
9,4150,3,190,16872,78,14.9,65,4524,1515.94
10,6136,7,412.1,0,76,17.2,36,4474,1115.61
5,6150,3,120.1,10656,79,19.9,5,4891,1458.74
9,1390,3,120.1,502963,77,17.3,33,4649,1148.89
53,490,3,198.2,774,77,16.3,43,4537,1196.86
54,8150,3,25.9,185,80,19.3,11,4951,1474.19
11,10000,5,325.1,1270,77,16.3,43,4537,1196.86
22,490,3,28.9,0,80,19.3,11,4951,1474.19
74,220,3,32.2,125,77,18.8,14,4423,1133.43
30,310,1,66.9,262,76,19.2,9,4289,1149.91
34,2900,9,359.9,1407,76,19.2,9,4289,1149.91
55,810,6,180.1,703,79,19.5,8,4841,1472.46
34,29620,3,102,399,76,16.7,39,4482,1150.77
30,600,2,149.9,586,76,16.7,39,4482,1150.77
38,19630,5,335,2737,76,16.8,41,4359,1120.56
68,5570,3,32.2,125,76,20,3,4432,1557.81
21,1000,3,159.1,621,78,15.8,52,4607,1283.64
44,110,3,89.9,352,78,16,50,4568,1345.25
95,630,3,32.2,125,76,18.2,22,4269,1023.09
48,490,3,96.1,375,79,19.9,5,4891,1458.74
25,600,4,43,168,76,17.5,32,4518,1116.36
62,4130,3,152.9,598,76,16.7,39,4482,1150.77
34,25860,4,308.1,1203,76,16.8,41,4359,1120.56
37,22670,2,242.1,1977,77,16.2,47,4355,1210.12
31,13790,3,37.1,223,77,16.4,43,4521,1263.46
46,71150,4,236.9,1179,76,20,3,4432,1557.81
42,9070,2,24,145,77,17.9,30,4756,1107.59
38,3430,41,2243.1,8764,77,18.5,15,4386,1102.21
34,291150,1,117.1,1953,77,16.2,47,4355,1210.12
48,9190,3,120.1,469,80,19.3,11,4951,1474.19
8,110,3,149.9,575424,76,16.8,41,4359,1120.56
36,600,3,26.9,105,76,16.7,39,4482,1150.77
6,340,3,134.8,11988,76,18.9,14,4231,1334.9
6,9790,4,361.9,31116,77,16.4,43,4521,1263.46
61,370,3,32.2,125,77,16.8,38,4652,1241.05
57,810,3,27.9,109,78,18.9,14,4676,1384.74
43,350,3,25.9,102,75,17.7,25,4277,1191.47
27,710,4,259.8,1016,76,20,3,4432,1557.81
36,490,4,44.9,176,78,15.1,59,4627,1252.83
88,12570,3,129.9,508,77,16.2,47,4355,1210.12
5,10200,3,339.9,30192,78,15.1,59,4627,1252.83
42,104,3,34.1,3019,77,16.2,47,4355,1210.12
23,15800,5,467.8,2826,77,16.2,47,4355,1210.12
37,220,3,120.1,469,77,17.3,33,4649,1148.89
40,490,5,335,1309,76,17.3,32,4479,1129.57
62,5590,3,24.9,98,78,20.7,0,4392,1541.35
97,7850,6,185,0,78,14.9,65,4524,1515.94
57,40060,4,293,3330,77,16.2,47,4355,1210.12
29,18840,5,494.1,4036,77,16.2,47,4355,1210.12
89,6770,3,25.9,74,75,18.6,16,4198,1088.31
57,750,2,330.1,1289,76,18.6,20,4202,1137.8
62,490,7,140.1,547,75,19.3,7,4325,1544.85
37,600,2,21,82,80,19.3,11,4951,1474.19
53,490,3,37.1,145,78,15.1,59,4627,1252.83
62,120,3,25.9,102,76,18.9,14,4231,1334.9
54,2700,7,252,985,75,19.3,7,4325,1544.85
23,490,3,28.9,0,79,18.9,10,4683,1302.41
10,600,1,80.1,307603,76,17.5,32,4518,1116.36
16,1768,1,37.1,145,77,17.9,30,4756,1107.59
25,24200,3,175.9,688,77,16.2,47,4355,1210.12
46,19730,4,352,1375,76,16.7,39,4482,1150.77
93,4330,2,21,82,77,16.3,43,4537,1196.86
61,490,3,32.2,125,76,19.5,6,4317,1325.87
61,87730,3,225.1,1838,78,15.6,57,4521,1462.63
51,22960,3,169.9,664,75,17.7,25,4277,1191.47
10,400,2,20,1,77,17.9,30,4756,1107.59
39,740,3,120.1,469,76,19.2,13,4163,1241.28
40,600,1,43,168,78,13.7,74,4453,1501.58
46,2030,7,279.9,0,76,17.2,36,4474,1115.61
41,36420,7,64,386,74,18,19,3993,1394.54
75,6090,7,210,821,78,20.4,4,4824,1481.42
32,104,4,44,172,79,19.4,13,4642,1418.14
72,160,6,60,234,78,19.4,8,4437,1294.62
31,560,3,33.1,129,77,17.3,33,4649,1148.89
49,110,5,160.1,0,77,19.9,5,4656,1447.84
16,490,1,68.9,0,78,14.9,65,4524,1515.94
12,1540,14,1710,6681,74,18.2,25,4253,1055.31
40,600,4,144,563,76,17.8,27,4512,1039.26
38,7670,4,269,764,77,18.5,15,4386,1102.21
17,500,3,42.7,1,76,19.5,6,4317,1325.87
57,840,6,210,821,76,18.9,14,4231,1334.9
17,5810,5,500,0,78,15.1,59,4627,1252.83
57,490,3,33.1,0,77,16.8,38,4652,1241.05
53,1410,4,49.9,195,78,16,50,4568,1345.25
24,22190,3,151.9,594,74,18,19,3993,1394.54
25,1100,5,200.1,0,78,19.1,8,4599,1293.02
46,12290,3,120.1,469,77,16.2,47,4355,1210.12
34,21390,2,355,2144,76,16.8,41,4359,1120.56
32,640,3,28.9,113,75,18.3,16,4199,1141.68
56,500,4,44,172,79,19.9,5,4891,1458.74
33,9190,10,399.9,1563,80,19.3,11,4951,1474.19
19,1590,4,339.9,2053,76,18.2,22,4269,1023.09
52,490,2,21,0,77,16.8,38,4652,1241.05
37,10060,2,188,735,79,19.4,10,4738,1381.25
60,2202,1,26.9,105,77,16.2,47,4355,1210.12
30,580,5,44.9,176,80,19.3,11,4951,1474.19
37,24000,3,152.9,598,78,14.9,65,4524,1515.94
53,890,6,246.1,961,77,17.3,33,4649,1148.89
51,4580,3,169.9,0,77,19.9,5,4656,1447.84
62,36330,3,23,188,79,19.5,8,4841,1472.46
62,4460,3,32.2,125,76,16.8,41,4359,1120.56
17,11380,2,198.2,985,77,16.2,47,4355,1210.12
72,1310,3,32.2,125,75,18.7,16,4211,1174.05
72,750,3,24,94,80,19.3,11,4951,1474.19
50,600,3,37.1,145,76,17.2,36,4474,1115.61
43,13650,2,328.1,1282,76,16.8,41,4359,1120.56
64,1780,2,22,86,76,19.5,6,4317,1325.87
38,4640,5,502,1961,76,16.8,41,4359,1120.56
13,490,4,43,168,78,16,50,4568,1345.25
54,6430,3,33.1,129,78,13.4,76,4325,1558.15
50,490,3,33.1,129,78,15.1,59,4627,1252.83
61,11780,3,102,399,79,19.4,10,4738,1381.25
50,47410,3,89.9,448,78,20.4,4,4824,1481.42
35,24850,3,174.9,1243,76,20,3,4432,1557.81
53,12920,3,223.1,871,80,14.8,71,4637,1723.08
33,600,4,129.9,508,78,19.1,8,4599,1293.02
56,31780,3,140.1,547,77,17.3,33,4649,1148.89
24,370,3,28.9,113,78,19.1,8,4599,1293.02
42,70,5,100.1,391,78,19.4,8,4437,1294.62
56,55770,5,346.1,1352,76,20,3,4432,1557.81
41,30,3,45.9,180,80,19.3,11,4951,1474.19
30,2840,10,399.9,1563,75,19.3,7,4325,1544.85
64,600,3,32.2,125,77,16.4,43,4521,1263.46
15,1040,3,140.1,0,77,17.9,25,4528,1072.98
34,2810,14,476,1860,76,19.5,6,4317,1325.87
57,490,7,140.1,547,78,19.4,8,4437,1294.62
47,50,4,267.1,1043,78,20.4,4,4824,1481.42
52,490,3,32.2,125,75,18.6,16,4198,1088.31
27,19960,8,319.9,1250,76,17.8,27,4512,1039.26
74,380,5,134.8,527,76,19.2,13,4163,1241.28
42,2050,3,28.9,113,78,16,50,4568,1345.25
81,5820,3,34.1,133,76,19.2,13,4163,1241.28
66,440,3,89.9,352,79,19.4,13,4642,1418.14
52,50360,5,333,2011,78,20.4,4,4824,1481.42
17,60,6,120.1,469,74,18.2,25,4253,1055.31
47,490,2,21,82,78,14.9,65,4524,1515.94
62,600,3,37.1,145,77,16.4,43,4521,1263.46
15,2110,10,399.9,1563,80,19.3,11,4951,1474.19
85,10250,3,32.2,125,77,16.3,43,4537,1196.86
42,104,4,149.9,586,77,16.8,38,4652,1241.05
27,40240,3,44.9,272,77,16.4,43,4521,1263.46
52,4190,4,315.9,1235,78,16,50,4568,1345.25
65,780,3,210,821,76,16.5,43,4324,1171.84
9,3810,3,28.9,0,75,18.3,16,4199,1141.68
48,5560,4,36.1,217,78,16,50,4568,1345.25
14,1930,1,46.9,184,77,16.2,47,4355,1210.12
65,490,3,28.9,113,77,18.8,14,4423,1133.43
15,2340,3,120.1,469,78,19.4,8,4437,1294.62
35,22590,2,80.1,568,74,18,19,3993,1394.54
50,490,3,41,160,78,14.9,65,4524,1515.94
5,104,1,40,3552,76,17.2,36,4474,1115.61
26,1920,4,44.9,176,77,17.9,30,4756,1107.59
43,13860,3,175.9,688,78,16,50,4568,1345.25
39,22010,2,212.9,1967,77,16.2,47,4355,1210.12
65,300,3,134.8,527,75,18.3,16,4199,1141.68
33,11880,6,228,1377,76,16.7,39,4482,1150.77
38,490,9,180.1,0,77,16.4,43,4521,1263.46
43,490,3,183.1,715,78,13.4,76,4325,1558.15
62,2780,3,96.1,375,77,17.3,33,4649,1148.89
27,1930,4,44,172,77,16.4,43,4521,1263.46
47,940,10,399.9,1563,75,18.7,16,4211,1174.05
6,25730,4,358.6,31820,77,16.4,43,4521,1263.46
11,6800,3,210,821,77,16.2,47,4355,1210.12
58,3050,5,140.1,547,78,19.1,8,4599,1293.02
2,13950,2,220.1,19536,77,16.2,47,4355,1210.12
9,2202,3,204.1,18115,77,16.3,43,4537,1196.86
49,1290,2,22,86,76,16.8,41,4359,1120.56
22,26110,4,175.9,875,77,16.2,47,4355,1210.12
47,490,3,24,94,78,20.7,0,4392,1541.35
47,730,4,128,500,79,19.4,13,4642,1418.14
29,5640,5,350.1,1368,77,16.3,43,4537,1196.86
95,6170,3,34.1,205,76,19.2,9,4289,1149.91
57,600,3,33.1,129,78,19.1,8,4599,1293.02
16,12170,3,200.1,1208,78,16,50,4568,1345.25
60,76290,3,28.9,175,77,16.4,43,4521,1263.46
47,600,7,252,985,77,17.3,33,4649,1148.89
50,5440,3,700.1,2735,80,19.3,11,4951,1474.19
14,600,3,120.1,469,76,17.2,36,4474,1115.61
58,260,3,89.9,0,77,17.9,25,4528,1072.98
35,7170,1,32.2,125,74,18,19,3993,1394.54
62,2550,3,28.9,113,79,19.5,8,4841,1472.46
50,600,2,22,86,77,16.4,43,4521,1263.46
67,250,3,32.2,125,76,18.9,14,4231,1334.9
62,490,5,100.1,391,77,18.8,14,4423,1133.43
13,1900,1,36.1,141,77,16.2,47,4355,1210.12
64,1890,11,417,1629,76,19.5,6,4317,1325.87
70,4880,2,21,0,77,17.3,31,4643,1076.38
32,3030,3,34.1,133,78,15.1,59,4627,1252.83
5,1396,1,75.1,6660,77,17.3,33,4649,1148.89
3,4190,3,136.2,12062,77,16.2,47,4355,1210.12
45,390,4,35.1,137,77,16.2,47,4355,1210.12
43,1370,2,21,82,76,18.4,15,4225,1431.38
66,40,5,75.1,293,76,19.2,13,4163,1241.28
57,50,3,60,234,78,19.4,8,4437,1294.62
39,11400,3,154.9,771,77,16.2,47,4355,1210.12
66,2360,3,32.2,125,76,18.2,22,4269,1023.09
81,22860,3,151.9,594,76,18.2,22,4269,1023.09
19,22220,3,226,883,76,20,3,4432,1557.81
29,10,2,40,156,78,18.9,14,4676,1384.74
43,2180,2,399.9,1563,76,17.2,36,4474,1115.61
16,100,2,120.1,469,78,13.7,74,4453,1501.58
15,87580,3,245.1,957,77,16.2,47,4355,1210.12
62,640,3,23,90,79,19.9,5,4891,1458.74
61,12180,4,273,1939,77,16.2,47,4355,1210.12
42,720,4,44,172,78,15.1,59,4627,1252.83
38,178080,5,360.9,1410,77,16.2,47,4355,1210.12
35,6900,4,272,1063,74,18.2,25,4253,1055.31
68,210,5,160.1,625,76,17.8,27,4512,1039.26
70,12520,4,120.1,852,79,18.9,10,4683,1302.41
38,2202,1,80.1,313,77,16.2,47,4355,1210.12
17,1930,3,190,1147,77,16.2,47,4355,1210.12
30,1720,3,152.9,598,78,15.1,59,4627,1252.83
2,490,3,60,5328,78,20.4,4,4824,1481.42
90,11850,1,42,254,74,18,19,3993,1394.54
32,2960,3,32.2,125,76,18.2,22,4269,1023.09
57,3310,4,234.9,0,76,16.8,41,4359,1120.56
57,490,3,34.1,133,77,17.3,33,4649,1148.89
43,2202,5,414,2941,76,16.8,41,4359,1120.56
80,9520,2,21,82,78,13.4,76,4325,1558.15
35,2040,4,44.9,176,78,15.1,59,4627,1252.83
41,11280,3,120.1,469,76,16.8,41,4359,1120.56
59,470,5,174.9,684,78,15.8,52,4607,1283.64
16,3970,6,191.9,750,76,18.9,14,4231,1334.9
42,430,6,220.1,860,76,18.6,20,4202,1137.8
56,1530,4,151.9,594,77,17.3,31,4643,1076.38
36,4030,3,30.8,187,75,19.3,7,4325,1544.85
32,1930,4,44,0,76,16.8,41,4359,1120.56
50,6050,3,134.8,384,76,20,3,4432,1557.81
16,1490,1,109.9,430,77,18.8,14,4423,1133.43
37,3380,5,62,242,77,16.2,47,4355,1210.12
65,10960,4,33.1,199,76,19.2,13,4163,1241.28
34,2202,4,44,172,77,16.3,43,4537,1196.86
42,9750,3,28.9,113,77,16.2,47,4355,1210.12
24,490,3,34.1,133,79,19.9,5,4891,1458.74
20,6090,3,22,86,76,18.9,14,4231,1334.9
82,90,3,33.1,129,77,17.9,25,4528,1072.98
13,12320,5,54.1,326,78,15.6,57,4521,1462.63
43,33850,3,222.1,867,76,19.2,13,4163,1241.28
67,490,3,32.2,125,76,19.5,6,4317,1325.87
17,1270,2,245.1,0,75,18.6,16,4198,1088.31
59,125730,3,151.9,0,76,16.8,41,4359,1120.56
90,2970,3,25.9,102,75,19.3,7,4325,1544.85
46,17280,2,220.1,860,75,18.7,16,4211,1174.05
48,2420,2,22,86,76,17.2,36,4474,1115.61
62,490,3,81,0,80,19.3,11,4951,1474.19
45,7870,3,203.1,793,77,17.3,33,4649,1148.89
47,3060,5,714.9,1,76,20,3,4432,1557.81
59,620,4,231,903,78,15.6,57,4521,1462.63
24,570,1,40,156,78,16,50,4568,1345.25
72,3180,3,32.2,125,76,17.8,27,4512,1039.26
10,600,2,24.9,98,76,17.2,36,4474,1115.61
7,4110,3,190,16872,77,16.3,43,4537,1196.86
89,13050,3,32.2,125,78,15.6,57,4521,1462.63
46,90,2,24,94,77,17.3,31,4643,1076.38
48,820,2,29.9,117,77,19.9,5,4656,1447.84
91,5030,3,33.1,129,80,19.3,11,4951,1474.19
54,194070,4,284.1,3228,77,16.2,47,4355,1210.12
60,11200,3,113.8,445,78,13.7,74,4453,1501.58
9,34960,104,5041,25784,76,20,3,4432,1557.81
36,180,3,142.1,555,77,17.3,31,4643,1076.38
52,110,3,23,90,79,18.9,10,4683,1302.41
54,600,5,140.1,547,76,17.8,27,4512,1039.26
51,20250,3,184.1,0,76,18.2,22,4269,1023.09
10,2950,5,37.1,145,76,19.5,6,4317,1325.87
53,490,8,163.1,0,78,19.1,8,4599,1293.02
15,104,6,120.1,469,79,19.4,13,4642,1418.14
44,1070,3,30.8,121,79,19.4,10,4738,1381.25
49,129020,2,226,0,77,16.2,47,4355,1210.12
7,5530,1,124,11026,76,20,3,4432,1557.81
4,1580,1,129.9,11544,78,15.1,59,4627,1252.83
38,440,2,22,86,77,16.4,43,4521,1263.46
65,19970,3,112.9,803,74,18,19,3993,1394.54
86,11080,1,26.9,163,76,16.8,41,4359,1120.56
67,920,2,21,82,76,19.2,9,4289,1149.91
2,25,1,60,5328,77,16.8,38,4652,1241.05
34,104,3,31.5,117,79,18.9,10,4683,1302.41
36,17690,13,1646,4677,77,16.2,47,4355,1210.12
55,10670,4,299.9,1172,76,16.8,41,4359,1120.56
12,40,1,90.9,1,75,17.7,25,4277,1191.47
21,14290,3,204.1,797,77,16.3,43,4537,1196.86
52,32430,5,200.1,1634,76,17.8,27,4512,1039.26
46,25600,9,243.1,949,76,16.8,41,4359,1120.56
54,6210,3,32.2,125,77,16.2,47,4355,1210.12
30,39390,3,221.1,2276,77,16.2,47,4355,1210.12
16,10480,4,315,1231,78,13.7,74,4453,1501.58
60,900,3,23,90,78,19.4,8,4437,1294.62
19,490,3,120.1,0,77,16.8,38,4652,1241.05
35,6800,3,33.1,199,76,18.9,14,4231,1334.9
40,490,6,180.1,703,75,18.3,16,4199,1141.68
58,490,2,22,86,77,17.3,31,4643,1076.38
57,130410,3,211.9,2636,77,16.2,47,4355,1210.12
27,60,4,38.1,148,77,17.3,31,4643,1076.38
53,340,2,21,82,78,15.8,52,4607,1283.64
5,4780,7,941.9,13498,77,16.2,47,4355,1210.12
28,4460,6,240.2,938,76,18.6,20,4202,1137.8
43,127920,3,29.9,0,76,16.8,41,4359,1120.56
52,490,5,169.9,186,76,17.2,36,4474,1115.61
32,4430,5,62,0,77,16.8,38,4652,1241.05
24,31940,3,140.1,547,77,16.2,47,4355,1210.12
62,27100,3,32.2,296,76,16.7,39,4482,1150.77
67,800,6,89.9,352,79,18.9,10,4683,1302.41
32,1760,3,33.1,129,76,19.2,9,4289,1149.91
87,1840,2,21,82,76,18.2,22,4269,1023.09
43,20,8,151.9,594,78,18.9,14,4676,1384.74
33,13740,3,232.9,0,78,14.4,69,4451,1510
17,122670,3,238.8,1953,76,16.8,41,4359,1120.56
42,80,1,29.9,117,78,16,50,4568,1345.25
58,43980,3,178.1,885,76,17.2,36,4474,1115.61
67,1970,3,81,316,79,19.4,10,4738,1381.25
31,890,3,120.1,469,79,19.4,10,4738,1381.25
20,600,4,44,172,77,16.3,43,4537,1196.86
15,1880,1,116.1,453,78,15.1,59,4627,1252.83
70,20,2,87.9,250,77,16.8,38,4652,1241.05
48,46270,7,279.9,0,76,16.8,41,4359,1120.56
70,2202,1,33.1,129,77,16.2,47,4355,1210.12
15,490,1,144,0,78,14.9,65,4524,1515.94
26,3480,3,50.9,199,76,16.8,41,4359,1120.56
58,2830,3,84,328,78,19.1,8,4599,1293.02
19,10350,2,266.1,1323,76,17.5,32,4518,1116.36
58,2310,4,206,0,75,18.6,16,4198,1088.31
5,6750,5,180.1,15984,79,19.9,5,4891,1458.74
83,4110,3,26.9,0,77,18.5,15,4386,1102.21
34,490,4,40,156,78,19.1,8,4599,1293.02
32,1710,3,51.8,203,77,16.2,47,4355,1210.12
10,1500,3,210,821,78,15.6,57,4521,1462.63
42,50,10,200.1,781,79,18.9,10,4683,1302.41
32,490,4,26.9,105,77,16.8,38,4652,1241.05
2,25,1,120.1,10656,77,18.5,19,4761,1162.61
47,490,3,32.2,125,77,18.5,15,4386,1102.21
27,4420,7,720.1,2813,77,16.8,38,4652,1241.05
21,540,3,32.2,125,76,16.7,39,4482,1150.77
42,31040,4,230,899,78,15.1,59,4627,1252.83
32,3500,2,109.9,430,76,16.8,41,4359,1120.56
38,1950,2,29.9,117,75,17.7,25,4277,1191.47
86,3280,2,22,86,77,16.3,43,4537,1196.86
70,2940,4,44,172,78,15.8,52,4607,1283.64
8,0,3,203.1,17938,74,18.2,25,4253,1055.31
30,2220,2,80.1,313,76,19.5,6,4317,1325.87
58,3050,5,169.9,664,78,19.1,8,4599,1293.02
47,50,5,46.9,51,79,18.9,10,4683,1302.41
82,6570,2,22,86,76,17.8,27,4512,1039.26
30,200,3,37.1,145,77,16.4,43,4521,1263.46
42,50,3,120.1,469,76,19.2,9,4289,1149.91
26,5140,3,160.1,625,77,16.3,43,4537,1196.86
32,1640,4,160.1,625,79,19.4,13,4642,1418.14
9,752,5,200.1,0,76,17.2,36,4474,1115.61
27,10,3,28.9,113,77,17.9,25,4528,1072.98
9,3080,3,120.1,0,79,18.9,10,4683,1302.41
12,1570,1,71.9,435,74,18,19,3993,1394.54
42,90,7,140.1,547,79,19.5,8,4841,1472.46
72,490,3,28.9,113,77,19.9,5,4656,1447.84
74,3150,2,21,82,79,18.9,10,4683,1302.41
20,620,1,48.9,191,79,15.6,59,4612,1608.46
25,17810,3,315,1231,76,20,3,4432,1557.81
73,20650,3,33.1,270,78,13.7,74,4453,1501.58
55,8410,5,240.2,938,76,17.8,27,4512,1039.26
38,2630,3,196.9,770,78,14.9,65,4524,1515.94
61,19530,4,271,2214,76,16.8,41,4359,1120.56
58,3260,2,22,86,77,16.4,43,4521,1263.46
63,410,4,35.1,137,75,19.3,7,4325,1544.85
50,360,3,102,399,79,18.9,10,4683,1302.41
76,9800,1,26.9,163,77,16.2,47,4355,1210.12
56,490,4,240.2,938,76,20,3,4432,1557.81
33,1670,4,44,172,78,19.1,8,4599,1293.02
26,2400,5,200.1,781,76,20,3,4432,1557.81
70,6730,3,32.2,0,77,17.3,31,4643,1076.38
45,100,5,100.1,94,77,19.9,5,4656,1447.84
31,5800,1,36.1,179,77,16.2,47,4355,1210.12
57,780,3,28.9,113,76,18.9,14,4231,1334.9
9,490,4,160.1,14504,76,19.2,13,4163,1241.28
20,6180,14,1399.9,0,78,15.1,59,4627,1252.83
25,600,5,180.1,703,75,19.3,7,4325,1544.85
62,820,2,21,82,78,20.4,4,4824,1481.42
67,2270,4,60,234,80,19.3,11,4951,1474.19
22,6680,3,504.9,1973,79,19.4,13,4642,1418.14
53,145530,3,191.9,1773,76,16.8,41,4359,1120.56
67,5060,3,32.2,125,78,15.1,59,4627,1252.83
30,200,3,25.9,102,78,19.4,8,4437,1294.62
82,2020,3,32.2,125,76,19.2,9,4289,1149.91
37,1930,4,44,172,77,16.2,47,4355,1210.12
42,490,2,80.1,313,76,19.2,13,4163,1241.28
48,600,6,120.1,469,77,18.5,19,4761,1162.61
57,490,5,80.1,313,77,18.5,19,4761,1162.61
51,48980,3,178.1,1075,76,20,3,4432,1557.81
15,560,5,200.1,781,76,19.2,9,4289,1149.91
33,9190,3,919.9,3595,80,19.3,11,4951,1474.19
48,22690,4,144,563,76,19.5,6,4317,1325.87
47,12810,6,228,891,76,16.8,41,4359,1120.56
47,18010,3,75.1,533,74,18,19,3993,1394.54
90,50,6,54.1,211,77,18.5,15,4386,1102.21
63,590,4,107.9,0,77,19.9,5,4656,1447.84
26,2202,3,180.1,703,76,16.8,41,4359,1120.56
59,830,3,32.2,125,78,15.8,52,4607,1283.64
22,1180,2,71.9,281,76,16.8,41,4359,1120.56
36,1650,3,26.9,105,80,19.3,11,4951,1474.19
43,520,3,107.9,422,80,19.3,11,4951,1474.19
47,1940,2,24.9,98,77,16.2,47,4355,1210.12
17,1410,2,246.1,1223,75,18.7,16,4211,1174.05
75,240,3,28.9,113,77,17.9,25,4528,1072.98
36,1100,7,210,821,76,19.5,6,4317,1325.87
66,330,2,21,82,76,17.5,32,4518,1116.36
55,77750,3,140.1,1293,76,17.8,27,4512,1039.26
60,690,3,81,316,80,19.3,11,4951,1474.19
73,490,3,105,410,75,19.3,7,4325,1544.85
23,5600,3,33.1,129,77,16.2,47,4355,1210.12
25,21100,2,454.1,1774,76,20,3,4432,1557.81
59,79030,2,21,194,77,16.2,47,4355,1210.12
23,790,4,245.1,957,79,19.4,10,4738,1381.25
29,490,3,25.9,0,77,16.8,38,4652,1241.05
62,5680,3,24,94,77,17.9,30,4756,1107.59
65,490,2,21,82,77,16.4,43,4521,1263.46
32,490,3,100.1,391,77,16.3,43,4537,1196.86
29,20680,4,104,406,77,16.2,47,4355,1210.12
57,2100,3,81,316,76,16.8,41,4359,1120.56
72,50,3,47.9,34,76,18.6,20,4202,1137.8
34,50,3,42,0,78,14.4,69,4451,1510
42,600,7,140.1,547,78,19.4,8,4437,1294.62
29,2430,3,32.2,125,76,18.2,22,4269,1023.09
60,15730,3,64,455,78,13.7,74,4453,1501.58
90,1140,2,21,0,75,18.6,16,4198,1088.31
2,250,1,47.9,4292,77,16.4,43,4521,1263.46
22,1600,3,180.1,703,77,18.5,19,4761,1162.61
27,600,2,21,82,77,17.9,25,4528,1072.98
76,3700,3,32.2,125,78,19.1,8,4599,1293.02
63,610,4,47.9,188,75,19.3,7,4325,1544.85
10,300,1,24,1,76,19.5,6,4317,1325.87
28,490,3,28.9,113,74,18.2,25,4253,1055.31
42,2220,3,35.1,137,76,18.6,20,4202,1137.8
19,17450,6,391.1,1528,76,20,3,4432,1557.81
29,2460,4,144,409,76,20,3,4432,1557.81
15,280,6,399.9,1563,76,18.6,20,4202,1137.8
50,490,5,102,399,79,19.5,8,4841,1472.46
37,26240,4,470.1,2838,78,16,50,4568,1345.25
16,122,2,21,82,77,16.2,47,4355,1210.12
15,1500,3,274.9,1074,77,16.8,38,4652,1241.05
56,31780,4,144,563,77,17.3,33,4649,1148.89
13,50,3,60,234,78,18.9,14,4676,1384.74
7,490,1,50.5,4484,77,17.9,30,4756,1107.59
44,600,2,40,156,81,19.7,9,5250,1452.15
17,1100,3,37.1,223,77,18.5,19,4761,1162.61
71,4200,4,43,168,76,19.2,9,4289,1149.91
38,15270,4,267.1,1043,76,16.8,41,4359,1120.56
102,13270,4,40,242,79,18.9,10,4683,1302.41
30,19990,3,187,1328,78,16,50,4568,1345.25
53,100,2,21,82,75,18.3,16,4199,1141.68
49,490,5,100.1,391,77,17.3,31,4643,1076.38
91,1160,2,21,82,75,18.3,16,4199,1141.68
42,7860,5,169.9,664,79,19.4,10,4738,1381.25
62,600,2,21,82,77,16.8,38,4652,1241.05
21,8040,2,212.9,1286,76,16.8,41,4359,1120.56
57,5630,7,279.9,1094,77,18.8,14,4423,1133.43
25,1930,4,230,899,77,16.2,47,4355,1210.12
15,500,5,200.1,781,76,18.4,15,4225,1431.38
32,600,1,55.1,215,77,16.2,47,4355,1210.12
35,16290,8,288.1,0,76,16.8,41,4359,1120.56
31,5970,3,32.2,125,78,19.1,8,4599,1293.02
26,17240,3,89.9,352,75,19.3,7,4325,1544.85
75,2660,5,185,723,76,17.8,27,4512,1039.26
75,22020,3,134.8,959,77,16.4,43,4521,1263.46
4,12500,5,984.9,87468,78,15.1,59,4627,1252.83
33,2470,3,145,567,76,16.8,41,4359,1120.56
32,490,1,41,117,78,14.4,69,4451,1510
43,230,3,26.9,105,78,15.1,59,4627,1252.83
56,115210,3,191.9,955,77,16.2,47,4355,1210.12
87,3740,2,21,0,77,16.8,38,4652,1241.05
32,17640,3,28.9,175,78,15.1,59,4627,1252.83
31,2330,2,169.9,664,76,16.8,41,4359,1120.56
63,1660,3,32.2,125,74,18,19,3993,1394.54
34,830,3,27.9,109,79,19.4,10,4738,1381.25
63,400,7,210,0,76,18.6,20,4202,1137.8
11,490,3,100.1,391,76,16.7,39,4482,1150.77
62,990,3,113.8,445,78,15.1,59,4627,1252.83
